reservation_id,venue_id,reservation_date,time_slot,guest_id,guest_tier,party_size,occasion,special_requests,status
R-20260529-00026,V-001,2026-05-29,Late night,G-104593,Standard,4,,,Waitlist
R-20260531-00027,V-001,2026-05-31,Late night,G-100294,Standard,6,,,Confirmed
R-20260526-00028,V-001,2026-05-26,Dinner,G-103352,Gold,4,,Window seat,Confirmed
R-20260501-00029,V-001,2026-05-01,Late night,G-102915,Standard,6,,,Confirmed
R-20260528-00030,V-001,2026-05-28,Late night,G-102332,Platinum,5,,,Deposit paid
R-20260502-00031,V-002,2026-05-02,Late night,G-100628,Platinum,8,,,Confirmed
R-20260514-00032,V-002,2026-05-14,Late night,G-104275,Standard,6,,Birthday cake,Deposit paid
R-20260520-00033,V-002,2026-05-20,Late night,G-103935,Platinum,4,,Birthday cake,Waitlist
R-20260515-00034,V-002,2026-05-15,Late night,G-102719,Platinum,2,,Allergy: shellfish,Confirmed
R-20260503-00035,V-002,2026-05-03,Dinner,G-103683,Platinum,5,,Allergy: shellfish,Confirmed
R-20260510-00036,V-002,2026-05-10,Dinner,G-104294,Standard,10,,,Waitlist
R-20260523-00037,V-002,2026-05-23,Dinner,G-104283,Gold,10,,Birthday cake,Confirmed
R-20260510-00038,V-002,2026-05-10,Late night,G-101403,Diamond,3,,Allergy: shellfish,Confirmed
R-20260503-00039,V-002,2026-05-03,Late night,G-101736,Standard,6,,,Confirmed
R-20260506-00040,V-002,2026-05-06,Late night,G-102904,Standard,5,,Birthday cake,Confirmed
R-20260501-00041,V-002,2026-05-01,Dinner,G-100314,Standard,4,Birthday,Quiet table,Confirmed
R-20260511-00042,V-002,2026-05-11,Lunch,G-102027,Standard,4,,Quiet table,Confirmed
R-20260511-00043,V-002,2026-05-11,Dinner,G-100019,Gold,4,,,Confirmed
R-20260531-00044,V-002,2026-05-31,Late night,G-103299,Standard,7,,Wine pairing,Confirmed
R-20260513-00045,V-002,2026-05-13,Late night,G-100501,Standard,3,,,Confirmed
R-20260526-00046,V-002,2026-05-26,Late night,G-102223,Standard,9,,Quiet table,Confirmed
R-20260503-00047,V-002,2026-05-03,Lunch,G-100335,Diamond,5,,,Confirmed
R-20260504-00048,V-002,2026-05-04,Dinner,G-104334,Gold,4,,Window seat,Confirmed
R-20260523-00049,V-002,2026-05-23,Lunch,G-100561,Standard,6,,,Waitlist
R-20260518-00050,V-002,2026-05-18,Late night,G-100355,Platinum,4,,Wine pairing,Confirmed
R-20260525-00051,V-002,2026-05-25,Lunch,G-104197,Platinum,4,,Wine pairing,Confirmed
R-20260501-00052,V-002,2026-05-01,Lunch,G-101226,Standard,6,,Wine pairing,Confirmed
R-20260510-00053,V-002,2026-05-10,Dinner,G-101273,Standard,10,,Quiet table,Confirmed
R-20260502-00054,V-002,2026-05-02,Lunch,G-100206,Gold,9,,,Confirmed
R-20260522-00055,V-002,2026-05-22,Dinner,G-102210,Platinum,3,Birthday,Allergy: shellfish,Confirmed
R-20260517-00056,V-002,2026-05-17,Lunch,G-103103,Gold,4,,Window seat,Confirmed
R-20260528-00057,V-002,2026-05-28,Lunch,G-101019,Standard,4,,Wine pairing,Deposit paid
R-20260506-00058,V-002,2026-05-06,Lunch,G-101385,Gold,6,Birthday,Window seat,Confirmed
R-20260529-00059,V-002,2026-05-29,Late night,G-104407,Platinum,8,,Wine pairing,Confirmed
R-20260504-00060,V-002,2026-05-04,Late night,G-103490,Diamond,3,,,Deposit paid
R-20260524-00061,V-002,2026-05-24,Late night,G-104344,Standard,3,,Wine pairing,Deposit paid
R-20260503-00062,V-002,2026-05-03,Lunch,G-104347,Standard,5,,Wine pairing,Confirmed
R-20260523-00063,V-002,2026-05-23,Dinner,G-103637,Standard,5,,Birthday cake,Confirmed
R-20260524-00064,V-002,2026-05-24,Lunch,G-101963,Diamond,5,,,Confirmed
R-20260530-00065,V-002,2026-05-30,Late night,G-100167,Standard,4,Birthday,Quiet table,Confirmed
R-20260526-00066,V-002,2026-05-26,Late night,G-101363,Platinum,7,,Window seat,Waitlist
R-20260501-00067,V-002,2026-05-01,Lunch,G-100546,Standard,9,,,Confirmed
R-20260522-00068,V-002,2026-05-22,Late night,G-104308,Standard,11,,Quiet table,Confirmed
R-20260502-00069,V-002,2026-05-02,Late night,G-103214,Gold,3,,Wine pairing,Waitlist
R-20260528-00070,V-002,2026-05-28,Late night,G-103591,Standard,4,,,Deposit paid
R-20260505-00071,V-002,2026-05-05,Dinner,G-100201,Standard,11,,,Confirmed
R-20260515-00072,V-002,2026-05-15,Dinner,G-101295,Standard,4,,Allergy: shellfish,Confirmed
R-20260526-00073,V-002,2026-05-26,Lunch,G-102963,Platinum,7,,Quiet table,Confirmed
R-20260524-00074,V-002,2026-05-24,Late night,G-103232,Standard,3,,Wine pairing,Waitlist
R-20260510-00075,V-002,2026-05-10,Dinner,G-100835,Gold,3,,,Confirmed
R-20260511-00076,V-002,2026-05-11,Late night,G-101276,Standard,8,,Wine pairing,Confirmed
R-20260506-00077,V-002,2026-05-06,Late night,G-102172,Standard,9,Birthday,,Confirmed
R-20260529-00078,V-002,2026-05-29,Lunch,G-100904,Platinum,3,,,Confirmed
R-20260505-00079,V-002,2026-05-05,Late night,G-101378,Standard,4,,Birthday cake,Confirmed
R-20260513-00080,V-002,2026-05-13,Dinner,G-100992,Standard,10,,Allergy: shellfish,Confirmed
R-20260528-00081,V-002,2026-05-28,Dinner,G-101476,Diamond,6,,Quiet table,Waitlist
R-20260507-00082,V-002,2026-05-07,Lunch,G-100240,Standard,3,,,Confirmed
R-20260531-00083,V-002,2026-05-31,Late night,G-101813,Diamond,6,,Quiet table,Deposit paid
R-20260521-00084,V-002,2026-05-21,Late night,G-103979,Standard,8,,,Deposit paid
R-20260527-00085,V-002,2026-05-27,Dinner,G-100638,Platinum,5,,Birthday cake,Confirmed
R-20260519-00086,V-002,2026-05-19,Dinner,G-101584,Standard,2,,Allergy: shellfish,Confirmed
R-20260531-00087,V-002,2026-05-31,Lunch,G-103620,Standard,6,,Birthday cake,Confirmed
R-20260518-00088,V-002,2026-05-18,Dinner,G-101005,Standard,8,,Allergy: shellfish,Confirmed
R-20260508-00089,V-002,2026-05-08,Lunch,G-103346,Standard,5,,Allergy: shellfish,Confirmed
R-20260503-00090,V-002,2026-05-03,Dinner,G-102978,Standard,6,,Window seat,Confirmed
R-20260517-00091,V-002,2026-05-17,Dinner,G-101597,Standard,6,,,Deposit paid
R-20260529-00092,V-002,2026-05-29,Late night,G-103943,Platinum,7,,,Deposit paid
R-20260512-00093,V-002,2026-05-12,Dinner,G-100947,Diamond,4,,,Waitlist
R-20260503-00094,V-002,2026-05-03,Lunch,G-103712,Standard,8,,Wine pairing,Deposit paid
R-20260516-00095,V-002,2026-05-16,Lunch,G-104602,Standard,5,,Birthday cake,Confirmed
R-20260516-00096,V-002,2026-05-16,Dinner,G-102907,Gold,4,,,Confirmed
R-20260501-00097,V-002,2026-05-01,Dinner,G-103559,Platinum,8,,Quiet table,Confirmed
R-20260520-00098,V-002,2026-05-20,Late night,G-103245,Platinum,7,,Quiet table,Confirmed
R-20260511-00099,V-002,2026-05-11,Dinner,G-100597,Gold,5,,Wine pairing,Deposit paid
R-20260518-00100,V-002,2026-05-18,Dinner,G-103479,Platinum,7,,Quiet table,Confirmed
R-20260529-00101,V-002,2026-05-29,Dinner,G-100902,Standard,6,,,Confirmed
R-20260522-00102,V-002,2026-05-22,Dinner,G-100441,Gold,4,,Window seat,Confirmed
R-20260528-00103,V-003,2026-05-28,Late night,G-101408,Standard,7,,Window seat,Confirmed
R-20260506-00104,V-003,2026-05-06,Late night,G-104412,Standard,7,,,Confirmed
R-20260512-00105,V-003,2026-05-12,Dinner,G-103632,Standard,6,,Allergy: shellfish,Confirmed
R-20260511-00106,V-003,2026-05-11,Dinner,G-104478,Platinum,2,,Quiet table,Confirmed
R-20260529-00107,V-003,2026-05-29,Lunch,G-104197,Platinum,3,,Birthday cake,Confirmed
R-20260501-00108,V-003,2026-05-01,Lunch,G-103790,Standard,3,,Wine pairing,Confirmed
R-20260521-00109,V-003,2026-05-21,Late night,G-104448,Platinum,7,,Window seat,Confirmed
R-20260516-00110,V-003,2026-05-16,Dinner,G-102827,Platinum,5,,Quiet table,Confirmed
R-20260504-00111,V-003,2026-05-04,Late night,G-102429,Gold,4,,,Confirmed
R-20260511-00112,V-003,2026-05-11,Lunch,G-101902,Gold,9,,Birthday cake,Waitlist
R-20260502-00113,V-003,2026-05-02,Lunch,G-104625,Platinum,7,,Allergy: shellfish,Confirmed
R-20260517-00114,V-003,2026-05-17,Dinner,G-101499,Gold,2,Anniversary,Quiet table,Confirmed
R-20260516-00115,V-003,2026-05-16,Lunch,G-101205,Standard,4,,Allergy: shellfish,Confirmed
R-20260506-00116,V-003,2026-05-06,Late night,G-101260,Gold,3,,Allergy: shellfish,Confirmed
R-20260503-00117,V-003,2026-05-03,Lunch,G-104970,Gold,6,,Wine pairing,Confirmed
R-20260525-00118,V-003,2026-05-25,Dinner,G-102230,Platinum,6,,Window seat,Confirmed
R-20260524-00119,V-003,2026-05-24,Lunch,G-100844,Standard,10,,Wine pairing,Confirmed
R-20260525-00120,V-003,2026-05-25,Late night,G-104980,Standard,6,,Quiet table,Waitlist
R-20260528-00121,V-003,2026-05-28,Lunch,G-100855,Diamond,4,,,Waitlist
R-20260511-00122,V-003,2026-05-11,Dinner,G-103263,Standard,4,,Wine pairing,Confirmed
R-20260511-00123,V-003,2026-05-11,Late night,G-103515,Standard,5,,Quiet table,Waitlist
R-20260523-00124,V-003,2026-05-23,Late night,G-101360,Gold,4,,,Deposit paid
R-20260512-00125,V-003,2026-05-12,Lunch,G-103589,Standard,10,,Wine pairing,Confirmed
R-20260521-00126,V-003,2026-05-21,Lunch,G-102500,Standard,2,,Window seat,Confirmed
R-20260518-00127,V-003,2026-05-18,Lunch,G-100820,Gold,10,,,Confirmed
R-20260507-00128,V-003,2026-05-07,Lunch,G-102260,Standard,6,,Allergy: shellfish,Confirmed
R-20260527-00129,V-003,2026-05-27,Dinner,G-100508,Standard,8,,,Confirmed
R-20260512-00130,V-003,2026-05-12,Lunch,G-103458,Standard,3,,Wine pairing,Confirmed
R-20260509-00131,V-003,2026-05-09,Lunch,G-101994,Standard,5,,Wine pairing,Deposit paid
R-20260511-00132,V-003,2026-05-11,Dinner,G-104050,Standard,9,,Quiet table,Deposit paid
R-20260507-00133,V-003,2026-05-07,Dinner,G-104924,Standard,7,,,Confirmed
R-20260503-00134,V-003,2026-05-03,Late night,G-100695,Gold,2,,Quiet table,Confirmed
R-20260506-00135,V-003,2026-05-06,Lunch,G-103199,Standard,9,,Window seat,Confirmed
R-20260523-00136,V-003,2026-05-23,Dinner,G-101350,Standard,8,,,Confirmed
R-20260505-00137,V-003,2026-05-05,Dinner,G-100928,Standard,9,,Birthday cake,Confirmed
R-20260501-00138,V-003,2026-05-01,Late night,G-100686,Standard,2,,Quiet table,Waitlist
R-20260516-00139,V-003,2026-05-16,Dinner,G-100683,Diamond,6,,,Confirmed
R-20260523-00140,V-003,2026-05-23,Lunch,G-104938,Standard,3,Birthday,,Confirmed
R-20260527-00141,V-004,2026-05-27,Lunch,G-102582,Platinum,10,,,Confirmed
R-20260530-00142,V-004,2026-05-30,Dinner,G-101005,Standard,6,,,Deposit paid
R-20260508-00143,V-004,2026-05-08,Dinner,G-104218,Platinum,9,,,Confirmed
R-20260509-00144,V-004,2026-05-09,Late night,G-104125,Standard,5,,Allergy: shellfish,Confirmed
R-20260501-00145,V-004,2026-05-01,Dinner,G-101704,Standard,4,,Window seat,Confirmed
R-20260525-00146,V-004,2026-05-25,Late night,G-104322,Standard,4,,,Confirmed
R-20260503-00147,V-004,2026-05-03,Late night,G-101382,Diamond,4,,Birthday cake,Waitlist
R-20260522-00148,V-004,2026-05-22,Dinner,G-104771,Gold,8,,,Waitlist
R-20260518-00149,V-004,2026-05-18,Late night,G-101528,Standard,3,,,Confirmed
R-20260520-00150,V-004,2026-05-20,Dinner,G-100971,Standard,4,,Quiet table,Deposit paid
R-20260504-00151,V-004,2026-05-04,Lunch,G-101552,Standard,10,,Wine pairing,Confirmed
R-20260505-00152,V-004,2026-05-05,Dinner,G-103808,Standard,6,,Birthday cake,Confirmed
R-20260523-00153,V-004,2026-05-23,Lunch,G-104657,Standard,7,,Birthday cake,Confirmed
R-20260519-00154,V-004,2026-05-19,Dinner,G-103503,Diamond,4,,,Waitlist
R-20260513-00155,V-004,2026-05-13,Lunch,G-102138,Gold,3,,,Confirmed
R-20260510-00156,V-004,2026-05-10,Dinner,G-104825,Gold,9,,,Confirmed
R-20260512-00157,V-004,2026-05-12,Dinner,G-102821,Standard,6,,,Confirmed
R-20260521-00158,V-004,2026-05-21,Late night,G-100286,Standard,4,,,Confirmed
R-20260519-00159,V-004,2026-05-19,Late night,G-102695,Standard,11,,,Confirmed
R-20260521-00160,V-004,2026-05-21,Late night,G-101991,Platinum,4,,,Confirmed
R-20260506-00161,V-004,2026-05-06,Lunch,G-102074,Standard,6,,,Confirmed
R-20260528-00162,V-004,2026-05-28,Late night,G-103811,Standard,3,,,Confirmed
R-20260517-00163,V-004,2026-05-17,Lunch,G-104081,Standard,3,,,Confirmed
R-20260522-00164,V-004,2026-05-22,Late night,G-100676,Gold,9,,Birthday cake,Confirmed
R-20260509-00165,V-004,2026-05-09,Lunch,G-100115,Standard,11,Anniversary,Quiet table,Confirmed
R-20260525-00166,V-004,2026-05-25,Dinner,G-101865,Standard,5,,,Confirmed
R-20260512-00167,V-004,2026-05-12,Dinner,G-103331,Diamond,5,,,Confirmed
R-20260508-00168,V-004,2026-05-08,Lunch,G-101079,Platinum,4,,,Confirmed
R-20260515-00169,V-004,2026-05-15,Dinner,G-101003,Standard,2,Birthday,Quiet table,Confirmed
R-20260502-00170,V-004,2026-05-02,Lunch,G-104249,Diamond,7,,Window seat,Confirmed
R-20260530-00171,V-004,2026-05-30,Late night,G-104733,Standard,5,,,Confirmed
R-20260519-00172,V-004,2026-05-19,Lunch,G-102709,Gold,3,,,Confirmed
R-20260505-00173,V-004,2026-05-05,Lunch,G-103088,Standard,8,,,Deposit paid
R-20260507-00174,V-004,2026-05-07,Dinner,G-100805,Gold,3,,Window seat,Confirmed
R-20260530-00175,V-004,2026-05-30,Lunch,G-101403,Diamond,6,,,Confirmed
R-20260514-00176,V-004,2026-05-14,Lunch,G-104488,Gold,9,,Window seat,Confirmed
R-20260504-00177,V-004,2026-05-04,Dinner,G-100114,Standard,9,,Wine pairing,Confirmed
R-20260501-00178,V-004,2026-05-01,Dinner,G-101768,Gold,8,,Quiet table,Waitlist
R-20260506-00179,V-004,2026-05-06,Lunch,G-104683,Standard,8,,Birthday cake,Confirmed
R-20260527-00180,V-004,2026-05-27,Late night,G-104369,Standard,5,,Wine pairing,Confirmed
R-20260530-00181,V-004,2026-05-30,Lunch,G-103563,Platinum,5,,Quiet table,Waitlist
R-20260524-00182,V-004,2026-05-24,Dinner,G-104459,Standard,5,,,Confirmed
R-20260504-00183,V-004,2026-05-04,Dinner,G-101577,Platinum,8,,,Confirmed
R-20260516-00184,V-004,2026-05-16,Lunch,G-104774,Platinum,7,,Birthday cake,Confirmed
R-20260507-00185,V-004,2026-05-07,Late night,G-101471,Standard,6,,Quiet table,Confirmed
R-20260507-00186,V-004,2026-05-07,Lunch,G-100227,Diamond,3,,Allergy: shellfish,Deposit paid
R-20260528-00187,V-004,2026-05-28,Late night,G-101266,Platinum,5,,,Waitlist
R-20260503-00188,V-004,2026-05-03,Dinner,G-100870,Gold,4,,Birthday cake,Confirmed
R-20260530-00189,V-004,2026-05-30,Dinner,G-103325,Standard,3,,Quiet table,Confirmed
R-20260506-00190,V-004,2026-05-06,Dinner,G-101187,Standard,6,,Quiet table,Deposit paid
R-20260512-00191,V-004,2026-05-12,Dinner,G-104081,Standard,4,Birthday,,Confirmed
R-20260522-00192,V-004,2026-05-22,Lunch,G-102006,Diamond,7,,,Deposit paid
R-20260507-00193,V-004,2026-05-07,Late night,G-102419,Standard,5,,Wine pairing,Confirmed
R-20260505-00194,V-004,2026-05-05,Lunch,G-104415,Standard,5,,Birthday cake,Confirmed
R-20260511-00195,V-004,2026-05-11,Late night,G-101937,Gold,5,,,Confirmed
R-20260530-00196,V-004,2026-05-30,Dinner,G-103264,Diamond,4,,,Waitlist
R-20260521-00197,V-004,2026-05-21,Late night,G-103925,Standard,7,,Birthday cake,Confirmed
R-20260520-00198,V-004,2026-05-20,Late night,G-103447,Standard,4,,Birthday cake,Waitlist
R-20260506-00199,V-004,2026-05-06,Late night,G-103959,Standard,7,,Quiet table,Confirmed
R-20260501-00200,V-004,2026-05-01,Late night,G-101024,Diamond,7,,,Confirmed
R-20260503-00201,V-004,2026-05-03,Late night,G-100773,Standard,7,,Allergy: shellfish,Waitlist
R-20260522-00202,V-004,2026-05-22,Dinner,G-102866,Gold,8,,Birthday cake,Confirmed
R-20260524-00203,V-004,2026-05-24,Lunch,G-101597,Standard,6,,,Confirmed
R-20260519-00204,V-004,2026-05-19,Lunch,G-101294,Standard,9,Birthday,,Confirmed
R-20260506-00205,V-004,2026-05-06,Dinner,G-100884,Standard,5,,Quiet table,Waitlist
R-20260515-00206,V-004,2026-05-15,Lunch,G-104077,Standard,4,,Wine pairing,Confirmed
R-20260508-00207,V-004,2026-05-08,Dinner,G-103107,Standard,3,,,Deposit paid
R-20260519-00208,V-004,2026-05-19,Lunch,G-101420,Gold,5,,,Confirmed
R-20260531-00209,V-004,2026-05-31,Dinner,G-102927,Standard,3,,,Confirmed
R-20260516-00210,V-004,2026-05-16,Dinner,G-100459,Standard,9,,Wine pairing,Confirmed
R-20260529-00211,V-004,2026-05-29,Dinner,G-103073,Gold,7,,,Confirmed
R-20260508-00212,V-004,2026-05-08,Dinner,G-100243,Standard,4,,Window seat,Waitlist
R-20260516-00213,V-004,2026-05-16,Dinner,G-100562,Standard,8,,Window seat,Confirmed
R-20260527-00214,V-004,2026-05-27,Late night,G-103625,Gold,5,Anniversary,,Confirmed
R-20260508-00215,V-004,2026-05-08,Lunch,G-103280,Standard,7,,Window seat,Deposit paid
R-20260512-00216,V-005,2026-05-12,Late night,G-100501,Standard,8,,,Waitlist
R-20260513-00217,V-005,2026-05-13,Late night,G-101097,Standard,6,,,Deposit paid
R-20260528-00218,V-005,2026-05-28,Lunch,G-102276,Diamond,7,,,Confirmed
R-20260507-00219,V-005,2026-05-07,Lunch,G-103266,Standard,8,,Birthday cake,Confirmed
R-20260502-00220,V-005,2026-05-02,Dinner,G-100468,Standard,7,,Allergy: shellfish,Confirmed
R-20260509-00221,V-005,2026-05-09,Late night,G-102522,Gold,6,,,Deposit paid
R-20260518-00222,V-005,2026-05-18,Dinner,G-101486,Platinum,4,,,Confirmed
R-20260529-00223,V-005,2026-05-29,Dinner,G-102512,Standard,3,,Wine pairing,Confirmed
R-20260507-00224,V-005,2026-05-07,Dinner,G-100156,Standard,6,,,Deposit paid
R-20260514-00225,V-005,2026-05-14,Lunch,G-100726,Standard,3,,Allergy: shellfish,Confirmed
R-20260511-00226,V-005,2026-05-11,Late night,G-102395,Standard,5,,,Confirmed
R-20260523-00227,V-005,2026-05-23,Lunch,G-102085,Standard,3,,,Confirmed
R-20260524-00228,V-005,2026-05-24,Lunch,G-104196,Standard,4,,Birthday cake,Confirmed
R-20260514-00229,V-005,2026-05-14,Lunch,G-103635,Gold,8,,Window seat,Confirmed
R-20260519-00230,V-005,2026-05-19,Dinner,G-101592,Standard,8,,Window seat,Deposit paid
R-20260519-00231,V-005,2026-05-19,Lunch,G-100005,Gold,3,,Birthday cake,Deposit paid
R-20260501-00232,V-005,2026-05-01,Late night,G-101135,Gold,5,,,Deposit paid
R-20260518-00233,V-005,2026-05-18,Lunch,G-104547,Standard,5,,Window seat,Waitlist
R-20260517-00234,V-005,2026-05-17,Lunch,G-101670,Gold,7,,Quiet table,Confirmed
R-20260513-00235,V-005,2026-05-13,Late night,G-100362,Standard,5,,Wine pairing,Waitlist
R-20260501-00236,V-005,2026-05-01,Late night,G-102487,Standard,6,,Birthday cake,Confirmed
R-20260522-00237,V-005,2026-05-22,Late night,G-100321,Standard,2,,Quiet table,Waitlist
R-20260503-00238,V-005,2026-05-03,Dinner,G-104638,Platinum,3,,,Waitlist
R-20260505-00239,V-005,2026-05-05,Late night,G-100532,Gold,4,,,Waitlist
R-20260514-00240,V-005,2026-05-14,Late night,G-104876,Standard,4,,,Confirmed
R-20260524-00241,V-005,2026-05-24,Lunch,G-102960,Platinum,9,,Birthday cake,Confirmed
R-20260528-00242,V-005,2026-05-28,Dinner,G-103066,Standard,7,,Allergy: shellfish,Deposit paid
R-20260516-00243,V-005,2026-05-16,Lunch,G-102110,Diamond,7,,,Confirmed
R-20260516-00244,V-005,2026-05-16,Late night,G-104075,Platinum,3,,Allergy: shellfish,Confirmed
R-20260517-00245,V-005,2026-05-17,Late night,G-103154,Standard,8,Birthday,Birthday cake,Confirmed
R-20260515-00246,V-005,2026-05-15,Late night,G-104474,Standard,7,,Quiet table,Confirmed
R-20260524-00247,V-005,2026-05-24,Late night,G-100802,Standard,4,,,Confirmed
R-20260521-00248,V-005,2026-05-21,Dinner,G-102327,Gold,7,,Birthday cake,Waitlist
R-20260513-00249,V-005,2026-05-13,Lunch,G-100636,Diamond,4,,Allergy: shellfish,Deposit paid
R-20260505-00250,V-005,2026-05-05,Lunch,G-100851,Standard,4,,Wine pairing,Confirmed
R-20260523-00251,V-005,2026-05-23,Dinner,G-101079,Platinum,10,,,Waitlist
R-20260526-00252,V-005,2026-05-26,Lunch,G-103893,Gold,3,Birthday,Window seat,Confirmed
R-20260526-00253,V-005,2026-05-26,Late night,G-102145,Standard,4,,Quiet table,Confirmed
R-20260508-00254,V-005,2026-05-08,Lunch,G-101119,Gold,3,Birthday,Wine pairing,Confirmed
R-20260529-00255,V-005,2026-05-29,Late night,G-102930,Gold,8,,Window seat,Confirmed
R-20260513-00256,V-005,2026-05-13,Dinner,G-100608,Gold,4,,Window seat,Confirmed
R-20260521-00257,V-005,2026-05-21,Late night,G-101692,Gold,7,,Window seat,Confirmed
R-20260526-00258,V-005,2026-05-26,Dinner,G-103546,Standard,8,Birthday,Window seat,Confirmed
R-20260526-00259,V-005,2026-05-26,Lunch,G-103812,Diamond,2,,Window seat,Confirmed
R-20260512-00260,V-005,2026-05-12,Late night,G-102360,Standard,5,,Quiet table,Confirmed
R-20260526-00261,V-005,2026-05-26,Late night,G-103147,Gold,4,,Allergy: shellfish,Confirmed
R-20260528-00262,V-005,2026-05-28,Late night,G-104806,Standard,6,,Wine pairing,Confirmed
R-20260515-00263,V-005,2026-05-15,Late night,G-102520,Standard,6,,,Confirmed
R-20260527-00264,V-005,2026-05-27,Dinner,G-100049,Platinum,5,Birthday,Window seat,Confirmed
R-20260504-00265,V-005,2026-05-04,Lunch,G-102164,Gold,7,,,Waitlist
R-20260520-00266,V-005,2026-05-20,Dinner,G-100840,Standard,5,,,Confirmed
R-20260527-00267,V-005,2026-05-27,Dinner,G-101221,Platinum,10,,Allergy: shellfish,Confirmed
R-20260527-00268,V-005,2026-05-27,Late night,G-104775,Gold,4,,Window seat,Confirmed
R-20260514-00269,V-005,2026-05-14,Late night,G-103697,Standard,2,Birthday,Allergy: shellfish,Confirmed
R-20260526-00270,V-005,2026-05-26,Dinner,G-103517,Gold,8,,,Confirmed
R-20260511-00271,V-005,2026-05-11,Lunch,G-102021,Platinum,11,,Birthday cake,Confirmed
R-20260513-00272,V-005,2026-05-13,Lunch,G-100318,Gold,7,,Quiet table,Confirmed
R-20260503-00273,V-005,2026-05-03,Late night,G-100731,Standard,7,,Birthday cake,Confirmed
R-20260522-00274,V-005,2026-05-22,Lunch,G-104314,Standard,3,,,Confirmed
R-20260516-00275,V-005,2026-05-16,Dinner,G-104400,Standard,9,,,Confirmed
R-20260504-00276,V-005,2026-05-04,Dinner,G-102109,Standard,2,,Allergy: shellfish,Confirmed
R-20260507-00277,V-005,2026-05-07,Late night,G-104194,Gold,6,,Birthday cake,Confirmed
R-20260528-00278,V-005,2026-05-28,Late night,G-102652,Gold,4,,Wine pairing,Confirmed
R-20260502-00279,V-005,2026-05-02,Lunch,G-100076,Gold,6,,Quiet table,Deposit paid
R-20260510-00280,V-005,2026-05-10,Dinner,G-104864,Platinum,4,,,Confirmed
R-20260501-00281,V-005,2026-05-01,Lunch,G-103181,Standard,9,,,Deposit paid
R-20260524-00282,V-005,2026-05-24,Dinner,G-101606,Standard,3,,,Deposit paid
R-20260522-00283,V-005,2026-05-22,Late night,G-101911,Gold,9,Anniversary,,Confirmed
R-20260503-00284,V-005,2026-05-03,Late night,G-102604,Standard,5,,,Confirmed
R-20260509-00285,V-005,2026-05-09,Lunch,G-104085,Gold,6,,Birthday cake,Confirmed
R-20260506-00286,V-005,2026-05-06,Lunch,G-100533,Standard,5,,Allergy: shellfish,Confirmed
R-20260526-00287,V-005,2026-05-26,Late night,G-104325,Platinum,5,,,Deposit paid
R-20260524-00288,V-005,2026-05-24,Lunch,G-103689,Standard,9,,Allergy: shellfish,Deposit paid
R-20260517-00289,V-006,2026-05-17,Late night,G-104451,Diamond,3,Birthday,,Confirmed
