interaction_id,guest_id,venue_id,interaction_date,interaction_type,category,note,captured_by
I-000059,G-103679,V-007,2025-01-04,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000060,G-101947,V-014,2025-08-03,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000061,G-100512,V-019,2025-09-17,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000062,G-103331,V-010,2026-02-13,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000063,G-102228,V-010,2025-03-09,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000064,G-102444,V-026,2025-03-30,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000065,G-101723,V-021,2025-11-17,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000066,G-101610,V-027,2025-04-25,Preference noted,Dietary,Allergic to truffle.,Chef
I-000067,G-102646,V-004,2025-12-22,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000068,G-102689,V-005,2025-02-15,Preference noted,Dietary,Allergic to truffle.,Chef
I-000069,G-102607,V-003,2025-08-21,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000070,G-102517,V-020,2024-12-05,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000071,G-104615,V-028,2025-02-17,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000072,G-100199,V-018,2024-10-21,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000073,G-101373,V-019,2024-09-14,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000074,G-101891,V-010,2024-11-14,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000075,G-104165,V-002,2024-09-06,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000076,G-104775,V-003,2025-10-31,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000077,G-102780,V-005,2024-08-26,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000078,G-102771,V-012,2024-10-30,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000079,G-103260,V-001,2024-12-09,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000080,G-100327,V-010,2025-05-29,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000081,G-104989,V-028,2025-11-09,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000082,G-103063,V-021,2026-04-13,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000083,G-102234,V-015,2024-07-04,Preference noted,Dietary,Allergic to truffle.,Chef
I-000084,G-103874,V-019,2024-09-06,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000085,G-104365,V-004,2025-01-20,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000086,G-103140,V-003,2024-08-18,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000087,G-103089,V-027,2025-06-02,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000088,G-102411,V-006,2024-03-25,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000089,G-102476,V-020,2026-01-03,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000090,G-102849,V-001,2025-10-22,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000091,G-101804,V-004,2024-07-07,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000092,G-103063,V-021,2024-09-08,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000093,G-102413,V-012,2024-09-28,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000094,G-102244,V-017,2025-08-26,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000095,G-101165,V-022,2025-06-11,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000096,G-100303,V-025,2024-09-19,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000097,G-100935,V-021,2024-05-10,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000098,G-104312,V-009,2025-05-04,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000099,G-100548,V-014,2024-08-06,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000100,G-103129,V-004,2025-10-09,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000101,G-103329,V-027,2025-04-08,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000102,G-101596,V-025,2024-07-22,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000103,G-102896,V-010,2024-08-23,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000104,G-102751,V-011,2025-10-07,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000105,G-101642,V-010,2026-03-11,Preference noted,Dietary,Allergic to truffle.,Chef
I-000106,G-103574,V-009,2025-01-20,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000107,G-102199,V-028,2024-08-05,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000108,G-101300,V-010,2025-03-10,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000109,G-102314,V-010,2024-09-18,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000110,G-102725,V-012,2025-12-23,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000111,G-104243,V-015,2025-07-18,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000112,G-100412,V-009,2024-12-05,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000113,G-101876,V-021,2024-08-11,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000114,G-100888,V-009,2024-04-17,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000115,G-104279,V-028,2024-06-17,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000116,G-100610,V-013,2024-11-06,Preference noted,Dietary,Allergic to truffle.,Chef
I-000117,G-104573,V-013,2024-11-27,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000118,G-102126,V-020,2025-04-18,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000119,G-100823,V-023,2025-01-02,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000120,G-101699,V-028,2025-05-28,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000121,G-102251,V-019,2025-09-24,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000122,G-101241,V-010,2025-03-16,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000123,G-100202,V-012,2026-04-12,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000124,G-101631,V-002,2024-12-14,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000125,G-102574,V-012,2025-10-20,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000126,G-104569,V-017,2025-01-02,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000127,G-104508,V-014,2024-12-20,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000128,G-101997,V-022,2024-08-15,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000129,G-101466,V-026,2026-04-14,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000130,G-104448,V-018,2025-10-05,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000131,G-102052,V-007,2025-06-27,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000132,G-103420,V-007,2025-11-18,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000133,G-104854,V-012,2024-05-30,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000134,G-102975,V-030,2025-03-19,Preference noted,Dietary,Allergic to truffle.,Chef
I-000135,G-104018,V-013,2026-01-29,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000136,G-102131,V-019,2025-11-01,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000137,G-103330,V-012,2024-10-08,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000138,G-102936,V-028,2025-03-11,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000139,G-101442,V-024,2024-04-26,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000140,G-100246,V-022,2024-07-07,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000141,G-104543,V-011,2024-11-06,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000142,G-102891,V-022,2024-04-20,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000143,G-102731,V-015,2024-09-22,Preference noted,Dietary,Allergic to truffle.,Chef
I-000144,G-101975,V-006,2025-05-17,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000145,G-100654,V-007,2025-04-04,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000146,G-101818,V-002,2024-12-24,Preference noted,Dietary,Allergic to truffle.,Chef
I-000147,G-100823,V-019,2025-06-27,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000148,G-100530,V-026,2025-10-17,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000149,G-104254,V-025,2025-02-27,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000150,G-102314,V-028,2024-02-21,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000151,G-100859,V-005,2025-10-17,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000152,G-101076,V-012,2025-03-18,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000153,G-104771,V-024,2024-07-07,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000154,G-103826,V-003,2025-05-02,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000155,G-102020,V-029,2024-10-15,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000156,G-100424,V-028,2025-11-25,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000157,G-103927,V-018,2025-03-18,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000158,G-102095,V-011,2024-12-23,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000159,G-104526,V-027,2024-11-09,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000160,G-103507,V-014,2024-05-14,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000161,G-102268,V-003,2025-05-27,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000162,G-104027,V-005,2024-03-25,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000163,G-101340,V-010,2025-07-11,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000164,G-102517,V-029,2025-09-02,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000165,G-104537,V-021,2026-02-17,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000166,G-101602,V-020,2024-06-02,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000167,G-104665,V-030,2026-04-08,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000168,G-101598,V-026,2024-11-12,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000169,G-100034,V-002,2026-03-04,Preference noted,Dietary,Allergic to truffle.,Chef
I-000170,G-101933,V-029,2024-05-29,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000171,G-102704,V-004,2025-05-08,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000172,G-102065,V-001,2024-08-22,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000173,G-104091,V-018,2024-08-30,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000174,G-101413,V-022,2024-07-31,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000175,G-101346,V-009,2026-04-05,Preference noted,Dietary,Allergic to truffle.,Chef
I-000176,G-103746,V-018,2024-04-26,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000177,G-104880,V-030,2025-01-14,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000178,G-103317,V-017,2024-12-10,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000179,G-102835,V-017,2025-05-03,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000180,G-102280,V-012,2026-01-26,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000181,G-103156,V-027,2026-04-14,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000182,G-102890,V-005,2025-12-08,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000183,G-104478,V-012,2026-01-02,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000184,G-103498,V-019,2024-04-28,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000185,G-100622,V-002,2024-07-03,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000186,G-101260,V-006,2026-04-06,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000187,G-102005,V-003,2025-03-29,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000188,G-100219,V-009,2025-01-19,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000189,G-103221,V-027,2026-04-18,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000190,G-102005,V-002,2024-12-30,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000191,G-101086,V-022,2024-04-26,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000192,G-100904,V-026,2026-03-25,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000193,G-101783,V-012,2024-07-11,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000194,G-104488,V-015,2025-12-28,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000195,G-101836,V-022,2025-08-08,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000196,G-100499,V-006,2025-07-14,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000197,G-103141,V-023,2025-10-18,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000198,G-100110,V-018,2024-03-20,Preference noted,Dietary,Allergic to truffle.,Chef
I-000199,G-104573,V-007,2025-12-31,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000200,G-103910,V-020,2026-02-01,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000201,G-104051,V-028,2024-08-08,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000202,G-100146,V-014,2025-09-15,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000203,G-101442,V-011,2025-11-20,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000204,G-100891,V-013,2025-12-07,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000205,G-100702,V-028,2026-04-30,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000206,G-100252,V-011,2024-03-02,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000207,G-100514,V-016,2024-05-07,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000208,G-104972,V-014,2024-06-15,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000209,G-101400,V-007,2025-12-07,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000210,G-102392,V-016,2026-02-07,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000211,G-100309,V-014,2024-04-19,Preference noted,Dietary,Allergic to truffle.,Chef
I-000212,G-102955,V-014,2026-04-12,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000213,G-102917,V-029,2025-01-02,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000214,G-101058,V-007,2025-05-17,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000215,G-102605,V-012,2024-11-21,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000216,G-101948,V-015,2025-07-08,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000217,G-103084,V-007,2025-02-26,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000218,G-103239,V-030,2026-02-23,Preference noted,Dietary,Allergic to truffle.,Chef
I-000219,G-102222,V-007,2024-10-27,Family note,Family,"Daughter Layla, age 12 (as of 2026); birthday Aug 14.",Server
I-000220,G-103191,V-016,2024-12-31,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000221,G-104242,V-011,2024-06-28,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000222,G-101396,V-002,2026-02-10,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000223,G-100873,V-015,2025-12-27,Preference noted,Dietary,Allergic to truffle.,Chef
I-000224,G-100228,V-029,2024-09-09,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000225,G-104066,V-023,2025-12-25,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000226,G-103022,V-019,2025-04-16,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000227,G-102503,V-001,2024-05-27,Preference noted,Dietary,Allergic to truffle.,Chef
I-000228,G-103847,V-020,2025-10-19,Preference noted,Dietary,Allergic to truffle.,Chef
I-000229,G-104600,V-011,2025-02-14,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000230,G-101030,V-026,2024-06-08,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000231,G-101079,V-006,2024-10-24,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000232,G-101335,V-019,2025-01-30,Occasion,Occasion,Hosted 25th anniversary; partner = Mrs. Al Mansouri.,Events
I-000233,G-101844,V-011,2025-12-31,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000234,G-102215,V-005,2025-12-29,Preference noted,Seating,Prefers banquette by window; not near speakers.,Host
I-000235,G-103420,V-014,2024-06-01,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000236,G-103574,V-007,2025-07-30,Preference noted,Dietary,Allergic to truffle.,Chef
I-000237,G-101605,V-010,2024-04-05,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000238,G-102920,V-007,2025-05-23,Preference noted,Beverage,Always orders Krug Grande Cuvée; flag pre-arrival.,Server
I-000239,G-102588,V-026,2025-04-23,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000240,G-104448,V-030,2024-06-03,Complaint unresolved,Service,Reservation honored 25 min late; expressed dissatisfaction.,Host
I-000241,G-101934,V-014,2025-02-06,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000242,G-103989,V-006,2025-03-20,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000243,G-101421,V-003,2024-03-23,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000244,G-104012,V-013,2026-02-07,Family note,Family,Wife Priya; allergic to shellfish.,GM
I-000245,G-103514,V-029,2024-03-09,Complaint resolved,Service,"Sound level too high during dinner; service comp offered, accepted.",GM
I-000246,G-104252,V-015,2025-12-19,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
I-000247,G-101494,V-015,2024-09-22,Compliment,F&B,Praised pastry chef on lemon tart; mention by name on next visit.,Server
I-000248,G-100965,V-004,2025-01-29,Compliment,Beverage,Praised wine pairing recommended by sommelier.,Sommelier
