guest_id,nationality,home_city,home_country,guest_tier,first_seen_date,first_seen_brand,dietary_flags,preferred_language,lifetime_spend_aed,total_visits,brands_visited_count,last_visit_date,acquisition_channel,event_host_count,consent_status
G-100059,Singapore,Singapore,Singapore,Standard,2024-04-01,Em Sherif,"vegetarian,gluten-free",EN,13433,7,1,2026-03-07,Concierge,0,Full
G-100060,UK,Manchester,UK,Standard,2025-09-01,Nammos,halal,EN,29165,15,1,2026-02-06,Hotel partner,0,None
G-100061,USA,Los Angeles,USA,Standard,2025-05-29,Nammos,,EN,3445,2,1,2026-03-25,Referral,0,Full
G-100062,UK,London,UK,Standard,2025-11-14,Em Sherif,vegan,EN,17463,12,1,2025-11-28,Concierge,0,None
G-100063,UAE,Dubai,UAE,Gold,2025-09-20,CE LA VI,,AR,147629,92,2,2026-02-06,Concierge,0,None
G-100064,Lebanon,Beirut,Lebanon,Gold,2024-06-04,Em Sherif,,AR,128465,77,2,2025-12-27,Concierge,0,None
G-100065,UAE,Sharjah,UAE,Standard,2025-08-01,AlphaMind,,AR,26348,9,1,2026-03-14,Referral,0,Full
G-100066,UK,Manchester,UK,Standard,2025-07-27,Em Sherif,halal,EN,24980,9,2,2026-01-30,Concierge,0,Full
G-100067,USA,New York,USA,Standard,2025-06-20,CE LA VI,gluten-free,EN,13479,5,1,2026-03-23,Digital,0,Full
G-100068,Bahrain,Manama,Bahrain,Standard,2024-09-06,Nammos,,AR,10866,4,2,2025-06-21,Direct,0,None
G-100069,UAE,Sharjah,UAE,Standard,2025-12-25,AlphaMind,,AR,23290,10,1,2026-04-12,Direct,0,Full
G-100070,UAE,Abu Dhabi,UAE,Standard,2025-11-21,Em Sherif,halal,AR,17845,7,1,2026-04-03,Referral,0,Full
G-100071,USA,New York,USA,Standard,2025-03-05,Em Sherif,,EN,20671,7,1,2025-12-28,Concierge,0,Full
G-100072,UAE,Abu Dhabi,UAE,Standard,2025-01-28,Em Sherif,"halal,gluten-free",AR,10459,3,1,2025-07-17,Concierge,0,Full
G-100073,UK,Manchester,UK,Standard,2025-02-20,Nammos,"vegetarian,gluten-free",EN,17846,7,1,2025-09-21,Hotel partner,0,Full
G-100074,UK,Manchester,UK,Standard,2025-10-15,Nammos,halal,EN,9017,3,1,2026-01-11,Direct,0,Partial
G-100075,UAE,Sharjah,UAE,Standard,2025-04-11,CE LA VI,,AR,4523,2,1,2025-10-14,Direct,0,Full
G-100076,USA,Los Angeles,USA,Gold,2025-09-28,CE LA VI,,EN,87821,35,3,2026-01-07,Digital,0,Full
G-100077,UAE,Dubai,UAE,Standard,2024-04-05,CE LA VI,gluten-free,AR,12241,4,2,2026-04-14,Concierge,0,Full
G-100078,France,Cannes,France,Standard,2025-08-04,Em Sherif,,FR,15201,6,1,2025-10-04,Hotel partner,0,Full
G-100079,USA,Miami,USA,Platinum,2025-07-16,Nammos,gluten-free,EN,765069,453,3,2026-01-27,Concierge,2,Full
G-100080,France,Cannes,France,Standard,2025-01-02,AlphaMind,,FR,20337,8,1,2025-10-20,Direct,0,None
G-100081,France,Paris,France,Gold,2025-12-19,Em Sherif,,FR,95335,34,3,2026-03-23,Direct,0,Full
G-100082,India,Delhi,India,Standard,2024-03-27,Nammos,,EN,11338,4,1,2025-03-09,Referral,0,Full
G-100083,USA,Miami,USA,Gold,2025-11-20,AlphaMind,,EN,30340,11,2,2026-04-05,Direct,0,Full
G-100084,France,Paris,France,Standard,2025-04-05,Nammos,,FR,9430,6,1,2026-01-16,Direct,0,Full
G-100085,UK,Manchester,UK,Standard,2024-05-17,Nammos,,EN,23930,9,1,2025-09-13,Digital,0,Full
G-100086,UAE,Abu Dhabi,UAE,Gold,2025-01-12,Nammos,gluten-free,AR,137912,80,1,2026-03-12,Concierge,0,Partial
G-100087,France,Nice,France,Standard,2025-03-26,Nammos,"vegetarian,gluten-free",FR,21649,8,1,2025-11-09,Hotel partner,0,Partial
G-100088,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2025-07-21,CE LA VI,vegetarian,AR,10751,6,1,2026-03-10,Hotel partner,0,None
G-100089,UK,London,UK,Gold,2024-12-23,CE LA VI,gluten-free,EN,96764,45,1,2025-11-06,Concierge,0,Full
G-100090,France,Nice,France,Standard,2025-03-29,Nammos,gluten-free,FR,18181,11,2,2025-11-09,Direct,0,Full
G-100091,India,Delhi,India,Standard,2025-07-05,Em Sherif,,EN,23488,10,1,2025-12-15,Hotel partner,0,Full
G-100092,USA,Miami,USA,Standard,2025-09-03,Nammos,,EN,2170,1,1,2026-01-29,Direct,0,Full
G-100093,USA,New York,USA,Standard,2025-06-22,Nammos,,EN,10725,6,1,2025-09-03,Referral,0,Full
G-100094,UAE,Sharjah,UAE,Standard,2025-07-08,Em Sherif,,AR,13597,8,1,2026-01-21,Direct,0,Full
G-100095,France,Cannes,France,Platinum,2025-07-23,Em Sherif,,FR,154996,92,1,2026-03-17,Direct,1,Full
G-100096,Russia,Moscow,Russia,Standard,2025-04-24,Em Sherif,,RU,11916,6,1,2025-10-23,Concierge,0,Full
G-100097,UAE,Abu Dhabi,UAE,Standard,2025-07-11,Nammos,,AR,2583,1,1,2025-11-13,Referral,0,Full
G-100098,Singapore,Singapore,Singapore,Standard,2025-07-20,Nammos,,EN,26374,11,1,2026-03-15,Direct,0,Partial
G-100099,USA,Miami,USA,Platinum,2025-01-01,CE LA VI,,EN,679774,430,3,2026-03-12,Hotel partner,1,Partial
G-100100,UAE,Sharjah,UAE,Standard,2025-06-25,AlphaMind,,AR,17805,8,2,2025-12-23,Hotel partner,0,None
G-100101,UAE,Dubai,UAE,Standard,2025-04-04,Nammos,,AR,4077,2,1,2026-04-10,Direct,0,Full
G-100102,USA,New York,USA,Standard,2025-04-26,CE LA VI,,EN,27084,14,1,2025-09-28,Direct,0,Partial
G-100103,UK,London,UK,Standard,2024-09-29,AlphaMind,pescatarian,EN,4361,1,1,2026-04-05,Digital,0,Partial
G-100104,UK,London,UK,Platinum,2024-11-24,Em Sherif,,EN,184037,83,3,2026-01-13,Direct,1,Full
G-100105,India,Bangalore,India,Standard,2025-11-23,Nammos,gluten-free,EN,29095,12,1,2026-03-15,Digital,0,Full
G-100106,Kuwait,Kuwait City,Kuwait,Gold,2025-01-19,AlphaMind,,AR,149659,56,1,2026-03-26,Direct,0,Full
G-100107,Kuwait,Kuwait City,Kuwait,Platinum,2023-11-17,Nammos,,AR,342264,139,2,2025-07-28,Concierge,0,Partial
G-100108,France,Cannes,France,Gold,2024-10-04,CE LA VI,,FR,127085,86,1,2025-11-28,Direct,0,Partial
G-100109,UK,Manchester,UK,Platinum,2025-10-06,AlphaMind,halal,EN,659840,249,2,2026-03-27,Concierge,0,Full
G-100110,Russia,Saint Petersburg,Russia,Gold,2025-10-24,Em Sherif,,RU,134760,104,1,2026-02-26,Hotel partner,0,None
G-100111,UK,London,UK,Gold,2024-07-15,Nammos,,EN,82496,30,2,2026-01-31,Direct,0,Full
G-100112,UAE,Sharjah,UAE,Gold,2025-10-12,Nammos,,AR,41889,17,1,2026-03-13,Digital,0,Full
G-100113,UK,London,UK,Standard,2024-07-14,Nammos,halal,EN,8038,5,1,2024-12-18,Concierge,0,Full
G-100114,Russia,Moscow,Russia,Standard,2024-11-08,Em Sherif,,RU,5104,1,1,2025-10-07,Concierge,0,Full
G-100115,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-04-17,Nammos,,AR,20710,10,1,2026-02-02,Concierge,0,None
G-100116,Russia,Moscow,Russia,Standard,2024-03-02,Nammos,,RU,2454,1,1,2025-11-20,Hotel partner,0,Partial
G-100117,Russia,Saint Petersburg,Russia,Standard,2025-03-02,CE LA VI,,RU,21171,7,1,2025-12-23,Direct,0,Full
G-100118,France,Nice,France,Standard,2024-08-08,Nammos,,FR,10682,5,1,2025-04-30,Direct,0,Full
G-100119,USA,Los Angeles,USA,Standard,2025-08-23,Nammos,,EN,12304,4,2,2025-12-21,Concierge,0,None
G-100120,Germany,Munich,Germany,Standard,2025-09-23,Nammos,,DE,13885,7,1,2025-10-08,Direct,0,Full
G-100121,UAE,Abu Dhabi,UAE,Standard,2025-07-07,Em Sherif,,AR,11843,9,1,2025-10-17,Digital,0,Full
G-100122,Qatar,Doha,Qatar,Standard,2024-11-01,Em Sherif,,AR,28678,20,1,2025-09-30,Direct,0,Partial
G-100123,UAE,Sharjah,UAE,Standard,2025-03-26,Em Sherif,,AR,28567,15,1,2025-09-30,Concierge,0,Full
G-100124,UK,Manchester,UK,Standard,2025-05-28,Nammos,,EN,17726,10,1,2026-03-02,Digital,0,Full
G-100125,Qatar,Doha,Qatar,Gold,2025-11-06,CE LA VI,,AR,149671,59,1,2025-12-05,Hotel partner,0,Partial
G-100126,USA,Los Angeles,USA,Standard,2024-06-14,Em Sherif,vegetarian,EN,24223,12,2,2026-03-05,Direct,0,Full
G-100127,India,Mumbai,India,Standard,2024-02-25,Nammos,,EN,26758,20,1,2025-10-23,Concierge,0,Partial
G-100128,UK,Manchester,UK,Standard,2025-03-02,Nammos,gluten-free,EN,21043,12,1,2025-07-24,Hotel partner,0,Partial
G-100129,Saudi Arabia,Riyadh,Saudi Arabia,Diamond,2025-12-03,Nammos,,AR,1491559,869,3,2026-02-13,Referral,2,None
G-100130,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2025-05-26,Nammos,,AR,28364,19,1,2025-12-02,Hotel partner,0,Partial
G-100131,India,Bangalore,India,Platinum,2024-05-12,CE LA VI,,EN,322026,209,2,2025-08-16,Referral,0,Full
G-100132,USA,Miami,USA,Standard,2025-02-01,Nammos,pescatarian,EN,4043,3,1,2025-12-27,Direct,0,Full
G-100133,USA,Los Angeles,USA,Standard,2025-08-17,Nammos,gluten-free,EN,23298,11,1,2026-04-03,Direct,0,Full
G-100134,UK,London,UK,Standard,2025-03-20,Nammos,,EN,26228,18,1,2026-02-05,Direct,0,Full
G-100135,Russia,Saint Petersburg,Russia,Standard,2025-05-29,Nammos,"vegetarian,gluten-free",RU,13010,6,1,2026-03-06,Direct,0,Full
G-100136,Qatar,Doha,Qatar,Gold,2025-11-27,Nammos,,AR,73893,40,1,2026-04-17,Concierge,0,Full
G-100137,Qatar,Doha,Qatar,Gold,2024-02-04,Em Sherif,,AR,44257,16,2,2025-10-21,Digital,0,Full
G-100138,Russia,Moscow,Russia,Platinum,2026-02-07,CE LA VI,,RU,672577,331,1,2026-04-12,Digital,0,Full
G-100139,Kuwait,Kuwait City,Kuwait,Gold,2025-08-21,CE LA VI,"vegetarian,gluten-free",AR,93880,40,2,2026-03-08,Hotel partner,0,Full
G-100140,Germany,Munich,Germany,Standard,2026-02-21,Em Sherif,halal,DE,29077,11,2,2026-03-18,Hotel partner,0,Full
G-100141,USA,New York,USA,Standard,2025-07-30,CE LA VI,,EN,8781,4,2,2025-12-20,Concierge,0,Full
G-100142,UK,Manchester,UK,Standard,2024-06-24,CE LA VI,,EN,22603,17,1,2026-02-28,Direct,0,Full
G-100143,France,Cannes,France,Platinum,2025-05-09,Em Sherif,,FR,589314,227,3,2025-11-19,Concierge,0,Full
G-100144,Italy,Rome,Italy,Standard,2025-09-09,Nammos,,IT,7803,3,1,2026-03-09,Digital,0,Full
G-100145,India,Delhi,India,Standard,2024-07-27,Nammos,,EN,11663,4,1,2026-02-28,Digital,0,Full
G-100146,UAE,Abu Dhabi,UAE,Platinum,2024-10-08,Nammos,,AR,515311,315,2,2026-03-16,Direct,0,Full
G-100147,Lebanon,Beirut,Lebanon,Standard,2025-01-08,Nammos,,AR,23581,19,1,2025-11-15,Concierge,0,None
G-100148,Singapore,Singapore,Singapore,Standard,2025-08-28,Em Sherif,,EN,27422,20,1,2026-01-26,Hotel partner,0,Full
G-100149,Singapore,Singapore,Singapore,Standard,2026-02-10,CE LA VI,,EN,24062,16,2,2026-03-14,Direct,0,None
G-100150,UAE,Abu Dhabi,UAE,Standard,2025-09-15,AlphaMind,,AR,17212,8,1,2025-11-07,Concierge,0,None
G-100151,Saudi Arabia,Riyadh,Saudi Arabia,Gold,2025-01-08,Nammos,,AR,70453,42,2,2025-09-30,Hotel partner,0,Full
G-100152,UK,Manchester,UK,Standard,2025-10-31,Nammos,,EN,11060,6,1,2026-03-24,Referral,0,Full
G-100153,Italy,Rome,Italy,Standard,2025-08-10,Nammos,,IT,20698,10,1,2026-03-26,Digital,0,Partial
G-100154,Lebanon,Beirut,Lebanon,Standard,2025-08-06,Nammos,,AR,28806,14,1,2026-02-09,Concierge,0,None
G-100155,France,Nice,France,Standard,2024-12-05,Em Sherif,halal,FR,18682,7,2,2025-11-13,Concierge,0,Full
G-100156,Singapore,Singapore,Singapore,Standard,2025-04-15,Nammos,,EN,11187,5,1,2026-03-25,Concierge,0,Full
G-100157,UAE,Sharjah,UAE,Gold,2025-07-12,Em Sherif,,AR,97055,42,1,2026-02-28,Direct,1,Full
G-100158,Saudi Arabia,Riyadh,Saudi Arabia,Gold,2024-01-13,AlphaMind,,AR,38282,14,1,2026-04-03,Referral,0,Partial
G-100159,Germany,Munich,Germany,Gold,2024-06-29,Nammos,,DE,39629,14,2,2025-02-17,Direct,0,None
G-100160,Germany,Munich,Germany,Platinum,2026-04-06,Nammos,,DE,343935,151,2,2026-04-11,Direct,0,Partial
G-100161,Bahrain,Manama,Bahrain,Standard,2026-02-14,Em Sherif,,AR,19217,7,2,2026-03-06,Direct,0,Full
G-100162,USA,Los Angeles,USA,Diamond,2024-12-22,Nammos,,EN,1784224,1152,2,2025-06-18,Referral,1,Full
G-100163,France,Nice,France,Standard,2025-10-07,CE LA VI,,FR,29599,14,2,2026-03-02,Concierge,0,Full
G-100164,USA,Miami,USA,Standard,2025-05-30,AlphaMind,vegetarian,EN,28364,12,1,2025-10-26,Concierge,0,Full
G-100165,UAE,Abu Dhabi,UAE,Standard,2025-10-12,CE LA VI,,AR,6041,3,1,2026-04-13,Concierge,0,Full
G-100166,UK,Manchester,UK,Standard,2024-06-22,CE LA VI,,EN,4588,1,1,2026-02-09,Hotel partner,0,Full
G-100167,USA,New York,USA,Standard,2025-04-24,Em Sherif,,EN,26345,15,2,2025-07-07,Digital,0,Full
G-100168,Italy,Milan,Italy,Standard,2025-01-24,CE LA VI,halal,IT,13105,8,2,2026-01-27,Concierge,0,Full
G-100169,USA,Los Angeles,USA,Standard,2025-12-19,AlphaMind,,EN,15145,5,1,2026-01-23,Concierge,0,Full
G-100170,USA,New York,USA,Standard,2025-04-08,CE LA VI,halal,EN,10265,6,1,2026-03-02,Direct,0,Full
G-100171,USA,Miami,USA,Gold,2025-01-04,CE LA VI,,EN,85299,35,2,2026-01-15,Direct,0,Full
G-100172,Lebanon,Beirut,Lebanon,Platinum,2024-10-17,Nammos,,AR,154149,108,2,2025-09-14,Concierge,1,Full
G-100173,UAE,Sharjah,UAE,Standard,2025-06-04,Nammos,,AR,17446,14,1,2026-01-07,Digital,0,Full
G-100174,UAE,Sharjah,UAE,Standard,2025-12-14,Nammos,,AR,6169,4,2,2026-03-09,Direct,0,Partial
G-100175,UK,Manchester,UK,Standard,2025-01-23,Nammos,pescatarian,EN,25185,18,1,2025-03-05,Direct,0,Partial
G-100176,UK,Manchester,UK,Diamond,2025-11-07,Em Sherif,,EN,2622420,1068,1,2026-02-20,Concierge,0,Full
G-100177,UAE,Dubai,UAE,Standard,2025-09-21,AlphaMind,vegetarian,AR,21164,12,1,2026-02-08,Direct,0,Partial
G-100178,India,Mumbai,India,Standard,2025-01-12,Nammos,vegan,EN,4154,2,1,2026-02-16,Concierge,0,Partial
G-100179,Lebanon,Beirut,Lebanon,Standard,2025-01-29,Nammos,,AR,22872,13,2,2026-03-25,Direct,0,Full
G-100180,USA,Miami,USA,Standard,2026-02-17,Nammos,pescatarian,EN,29792,15,1,2026-04-04,Concierge,0,None
G-100181,France,Cannes,France,Gold,2025-10-03,Nammos,,FR,62156,34,2,2026-01-02,Concierge,0,Full
G-100182,UAE,Abu Dhabi,UAE,Platinum,2025-12-27,Nammos,,AR,512040,253,2,2026-04-12,Referral,1,Full
G-100183,India,Mumbai,India,Gold,2024-07-20,AlphaMind,,EN,147380,69,1,2026-02-19,Direct,0,Full
G-100184,UK,London,UK,Standard,2024-11-18,Nammos,,EN,28438,12,1,2025-11-18,Concierge,0,Full
G-100185,UAE,Dubai,UAE,Standard,2024-10-30,Nammos,pescatarian,AR,11372,4,1,2025-05-18,Direct,0,None
G-100186,Kuwait,Kuwait City,Kuwait,Standard,2025-08-29,CE LA VI,,AR,19721,7,1,2025-12-15,Direct,0,Full
G-100187,Russia,Saint Petersburg,Russia,Standard,2025-05-02,Em Sherif,,RU,17402,6,1,2026-01-13,Concierge,0,Partial
G-100188,Qatar,Doha,Qatar,Gold,2025-05-28,Em Sherif,halal,AR,59042,26,2,2025-11-17,Digital,0,Full
G-100189,UK,Manchester,UK,Gold,2025-07-11,Nammos,,EN,146211,62,3,2025-11-09,Direct,0,None
G-100190,Saudi Arabia,Jeddah,Saudi Arabia,Standard,2025-02-28,Em Sherif,,AR,29070,16,1,2025-09-02,Direct,0,Full
G-100191,Saudi Arabia,Riyadh,Saudi Arabia,Standard,2025-04-06,Em Sherif,,AR,11659,9,1,2026-03-27,Digital,0,Full
G-100192,UAE,Sharjah,UAE,Standard,2025-10-21,Em Sherif,,AR,15332,8,1,2026-01-27,Direct,0,Full
G-100193,India,Mumbai,India,Gold,2024-11-02,AlphaMind,,EN,118858,58,1,2025-10-23,Concierge,0,Full
G-100194,India,Bangalore,India,Standard,2026-02-18,Em Sherif,,EN,7525,3,1,2026-04-03,Direct,0,Partial
G-100195,Russia,Moscow,Russia,Gold,2025-08-07,Nammos,,RU,43674,19,2,2026-02-03,Concierge,0,Full
G-100196,UK,London,UK,Gold,2024-10-21,CE LA VI,,EN,65693,30,2,2026-03-24,Direct,0,Full
G-100197,Saudi Arabia,Riyadh,Saudi Arabia,Gold,2025-07-29,Nammos,,AR,106260,46,1,2026-01-01,Concierge,0,Full
G-100198,UAE,Abu Dhabi,UAE,Standard,2024-05-06,Em Sherif,gluten-free,AR,7463,4,1,2025-08-20,Concierge,0,Partial
G-100199,UK,Manchester,UK,Platinum,2024-12-05,Nammos,,EN,328654,159,1,2026-03-04,Referral,0,Partial
G-100200,USA,New York,USA,Standard,2024-01-28,Em Sherif,,EN,23190,9,1,2025-09-24,Concierge,0,Full
G-100201,France,Cannes,France,Standard,2025-06-24,Nammos,halal,FR,24868,13,1,2025-07-17,Direct,0,Partial
G-100202,India,Bangalore,India,Gold,2025-07-06,Em Sherif,,EN,124181,49,2,2025-11-09,Concierge,0,Full
G-100203,UAE,Sharjah,UAE,Standard,2025-05-20,AlphaMind,,AR,24825,17,1,2025-11-02,Direct,0,Full
G-100204,Qatar,Doha,Qatar,Gold,2025-08-28,Nammos,halal,AR,131226,71,1,2026-03-30,Concierge,0,Partial
G-100205,UAE,Dubai,UAE,Standard,2024-08-18,Em Sherif,,AR,15665,7,2,2025-03-26,Direct,0,Partial
G-100206,Germany,Munich,Germany,Gold,2024-04-03,CE LA VI,gluten-free,DE,89365,52,2,2025-12-23,Referral,0,Full
G-100207,Russia,Moscow,Russia,Standard,2026-03-08,AlphaMind,,RU,6423,3,1,2026-03-12,Digital,0,Full
G-100208,Lebanon,Beirut,Lebanon,Diamond,2025-02-22,Nammos,,AR,2361743,892,3,2026-03-11,Direct,1,Partial
G-100209,USA,Miami,USA,Gold,2025-04-02,Em Sherif,,EN,83408,68,1,2026-02-03,Hotel partner,0,None
G-100210,UK,London,UK,Platinum,2025-09-01,AlphaMind,,EN,239134,98,2,2025-12-23,Concierge,3,Full
G-100211,UAE,Sharjah,UAE,Gold,2024-12-16,AlphaMind,,AR,103929,54,1,2026-02-19,Direct,0,Full
G-100212,France,Nice,France,Gold,2025-09-18,Nammos,vegan,FR,96407,44,1,2026-01-28,Referral,0,Partial
G-100213,USA,Los Angeles,USA,Gold,2025-07-25,Em Sherif,,EN,124056,50,1,2026-03-13,Hotel partner,0,Full
