date,venue_id,covers_total,revenue_total_aed,food_revenue_aed,beverage_revenue_aed,food_cost_pct,labor_cost_pct,occupancy_pct,nps_score,events_count,events_revenue_aed,avg_satisfaction
2026-04-25,V-001,273,914963.23,393055.54,521907.69,0.29,0.2174,0.5417,24,2,61405.76,7.74
2025-08-07,V-001,365,521101.64,217187.97,303913.61,0.2945,0.2159,0.7242,31,4,25692.7,8.08
2025-09-20,V-001,280,895064.05,376602.23,518461.83,0.2657,0.2163,0.5556,27,0,0.0,7.85
2026-01-13,V-001,280,470959.48,198750.0,272209.41,0.2758,0.2337,0.5556,30,0,0.0,8.02
2026-02-21,V-001,308,1164266.79,487335.09,676931.77,0.2696,0.2063,0.6111,31,1,16480.75,8.06
2025-05-13,V-001,288,448287.52,186930.11,261357.45,0.2624,0.2416,0.5714,30,4,33289.01,8.04
2025-06-21,V-001,300,1048829.4,442956.68,605872.66,0.2981,0.2178,0.5952,27,0,0.0,7.9
2026-02-22,V-001,361,1127475.78,472850.29,654625.55,0.282,0.2026,0.7163,31,2,31830.47,8.09
2025-10-01,V-001,335,571326.93,233513.63,337813.29,0.2666,0.2391,0.6647,29,1,20908.17,7.98
2025-10-11,V-001,260,839431.49,355025.99,484405.55,0.2862,0.2348,0.5159,30,2,63799.05,8.0
2025-05-09,V-001,264,820381.2,339949.5,480431.66,0.2618,0.2118,0.5238,30,0,0.0,8.02
2024-11-07,V-001,396,1046939.34,455189.84,591749.52,0.2986,0.2194,0.7857,24,1,8348.64,7.75
2025-03-08,V-001,270,897533.05,375249.24,522283.83,0.3032,0.2408,0.5357,27,2,69795.38,7.87
2025-03-16,V-001,206,525611.92,219302.49,306309.45,0.2662,0.2082,0.4087,21,0,0.0,7.58
2026-04-16,V-001,336,714149.04,300137.1,414011.98,0.2944,0.2098,0.6667,24,1,20868.24,7.73
2026-02-26,V-001,409,1078185.0,478419.59,599765.37,0.263,0.2016,0.8115,23,3,44775.74,7.68
2025-08-12,V-001,341,346298.15,143773.65,202524.51,0.3074,0.2174,0.6766,25,2,13599.93,7.79
2025-08-18,V-001,352,346882.12,147724.4,199157.68,0.2688,0.2132,0.6984,28,1,5958.33,7.92
2024-12-03,V-001,396,694764.23,297797.17,396967.09,0.2819,0.2279,0.7857,26,1,22306.54,7.84
2025-01-27,V-001,328,588063.54,244877.64,343185.88,0.2683,0.2052,0.6508,24,2,28126.23,7.71
2024-12-27,V-001,310,1146773.99,473971.03,672802.96,0.268,0.2454,0.6151,30,1,10531.13,8.02
2026-01-02,V-001,322,1248414.04,530068.52,718345.58,0.2658,0.2179,0.6389,30,1,21963.52,8.02
2026-04-19,V-001,291,741818.81,304993.34,436825.48,0.2929,0.2419,0.5774,26,0,0.0,7.84
2025-03-13,V-001,324,741533.46,302951.41,438582.1,0.2813,0.2413,0.6429,39,0,0.0,8.47
2024-11-23,V-001,337,1342134.3,565478.23,776656.05,0.2911,0.2178,0.6687,21,0,0.0,7.58
2025-02-27,V-001,312,839801.85,359347.02,480454.84,0.278,0.2496,0.619,29,1,15306.41,7.96
2025-02-17,V-001,307,573921.75,242192.52,331729.24,0.2706,0.2034,0.6091,32,1,5960.22,8.12
2025-10-20,V-001,376,589165.56,243090.54,346075.06,0.2953,0.2101,0.746,26,0,0.0,7.81
2025-09-27,V-001,210,707095.28,304157.85,402937.44,0.2865,0.2287,0.4167,32,0,0.0,8.12
2026-04-07,V-001,324,511953.16,214944.02,297009.13,0.292,0.2366,0.6429,29,2,20828.71,7.96
2025-05-25,V-001,295,780223.32,322939.74,457283.56,0.2975,0.2377,0.5853,25,2,38707.09,7.79
2025-03-03,V-001,302,437684.46,179457.45,258226.98,0.3091,0.2052,0.5992,27,0,0.0,7.89
2025-02-20,V-001,310,805753.39,334202.0,471551.43,0.3091,0.2353,0.6151,32,2,23289.06,8.13
2024-12-01,V-001,303,1007790.33,426651.33,581138.99,0.3098,0.213,0.6012,25,1,29760.45,7.8
2026-02-07,V-001,330,1294240.28,533289.41,760950.85,0.2735,0.2467,0.6548,33,3,54046.65,8.17
2025-07-25,V-001,271,566220.5,242128.21,324092.28,0.262,0.2143,0.5377,30,1,11204.09,8.0
2025-08-19,V-001,266,264165.04,112439.04,151726.0,0.2767,0.2394,0.5278,25,0,0.0,7.78
2025-06-10,V-001,245,368886.26,157312.83,211573.42,0.2982,0.2409,0.4861,31,2,33777.36,8.09
2025-04-16,V-001,305,557272.45,232692.17,324580.24,0.278,0.2338,0.6052,27,1,15992.48,7.89
2026-04-29,V-001,378,655434.62,278089.34,377345.32,0.2742,0.2367,0.75,30,1,20057.47,8.02
2026-01-17,V-001,355,1374173.64,588772.22,785401.44,0.2898,0.2204,0.7044,24,4,111547.66,7.71
2025-09-02,V-001,437,679621.23,291747.93,387873.4,0.2855,0.2353,0.8671,26,1,5900.79,7.82
2025-07-09,V-001,289,335328.37,141159.55,194168.83,0.2762,0.2345,0.5734,30,3,16779.41,8.0
2025-04-02,V-001,281,508460.76,215749.87,292710.86,0.2929,0.2032,0.5575,26,0,0.0,7.82
2026-04-04,V-001,322,1105170.66,468916.56,636254.11,0.2639,0.2158,0.6389,31,1,43207.81,8.07
2026-02-17,V-001,292,554716.45,227587.15,327129.31,0.3011,0.243,0.5794,33,0,0.0,8.2
2026-03-18,V-001,336,588237.72,244121.96,344115.71,0.3069,0.2454,0.6667,27,3,41575.0,7.89
2025-12-27,V-001,399,1565320.41,668407.3,896913.12,0.2947,0.2456,0.7917,24,1,63645.37,7.73
2026-03-26,V-001,342,753943.89,315759.61,438184.2,0.2853,0.2147,0.6786,27,1,20032.46,7.86
2026-02-19,V-001,273,732988.08,308512.72,424475.36,0.2938,0.2054,0.5417,19,1,11865.45,7.45
2025-11-20,V-001,301,823104.64,349450.18,473654.47,0.2937,0.2484,0.5972,29,1,12184.01,7.98
2025-07-07,V-001,320,316107.99,133920.44,182187.58,0.2831,0.2003,0.6349,29,1,8950.65,7.96
2025-07-19,V-001,328,722303.86,293388.41,428915.45,0.2856,0.2185,0.6508,25,0,0.0,7.78
2024-11-26,V-001,329,590724.29,240511.61,350212.7,0.2827,0.2045,0.6528,26,0,0.0,7.83
2025-10-19,V-001,324,856576.56,345575.36,511001.21,0.3008,0.237,0.6429,27,1,8624.87,7.85
2025-05-26,V-001,279,412975.85,171505.44,241470.48,0.2814,0.2188,0.5536,35,1,8277.64,8.26
2025-02-01,V-001,389,1489187.51,625791.62,863395.87,0.2923,0.2343,0.7718,32,1,30981.11,8.11
2024-12-31,V-001,340,665306.67,276393.24,388913.43,0.2862,0.2032,0.6746,28,1,19127.47,7.92
2025-05-10,V-001,387,1284141.84,552240.02,731901.83,0.2876,0.2285,0.7679,27,0,0.0,7.87
2025-05-08,V-001,290,656104.72,271706.26,384398.45,0.3093,0.212,0.5754,30,1,9905.42,8.0
2026-04-22,V-001,240,435797.45,185969.31,249828.14,0.2964,0.2477,0.4762,32,0,0.0,8.12
2025-07-13,V-001,279,473008.03,199907.17,273100.83,0.2626,0.2181,0.5536,29,2,25879.63,7.96
2025-08-10,V-001,242,412047.74,168362.6,243685.14,0.2862,0.2107,0.4802,28,1,18428.05,7.94
2025-01-24,V-001,265,919347.77,392986.95,526360.81,0.2674,0.2063,0.5258,33,0,0.0,8.15
2026-04-10,V-001,279,865964.68,365003.98,500960.65,0.2651,0.2079,0.5536,28,2,43927.71,7.93
2025-08-20,V-001,313,338019.68,145560.54,192459.07,0.2778,0.2127,0.621,35,1,5890.72,8.29
2026-03-16,V-001,292,439418.5,182039.19,257379.23,0.2959,0.2068,0.5794,27,0,0.0,7.88
2024-11-06,V-001,433,872393.13,364539.55,507853.56,0.2915,0.2238,0.8591,22,0,0.0,7.62
2025-12-22,V-001,406,706073.59,300233.91,405839.67,0.2778,0.2323,0.8056,25,1,17799.42,7.77
2026-02-15,V-001,257,825281.98,337479.68,487802.31,0.2675,0.2273,0.5099,25,1,21226.48,7.79
2025-08-14,V-001,307,436465.53,178654.76,257810.74,0.2645,0.2311,0.6091,23,0,0.0,7.67
2025-01-25,V-001,285,1107619.06,452747.46,654871.59,0.2694,0.2417,0.5655,24,1,37220.59,7.7
2024-11-25,V-001,258,482114.42,209397.35,272717.09,0.2958,0.2455,0.5119,24,0,0.0,7.73
2025-01-29,V-001,338,718607.85,311169.28,407438.58,0.2795,0.2394,0.6706,27,2,24021.93,7.86
2025-03-23,V-001,357,945267.88,392899.36,552368.45,0.2652,0.2031,0.7083,36,1,13590.41,8.31
2025-12-10,V-001,285,596977.19,254393.4,342583.81,0.3089,0.2461,0.5655,29,0,0.0,7.98
2025-10-23,V-001,325,708199.83,295073.64,413126.15,0.2835,0.2341,0.6448,27,4,46241.66,7.89
2026-01-29,V-001,303,790731.96,338151.72,452580.29,0.2934,0.2464,0.6012,25,1,14744.05,7.75
2025-06-03,V-001,208,303118.09,123976.74,179141.34,0.2888,0.2129,0.4127,24,2,15146.86,7.74
2025-10-14,V-001,320,476047.9,204522.88,271525.04,0.2879,0.2492,0.6349,29,0,0.0,7.98
2025-01-05,V-001,304,965474.83,410315.83,555158.98,0.2974,0.2137,0.6032,31,2,47140.29,8.07
2025-02-28,V-001,288,1096283.69,459279.65,637004.01,0.2649,0.2457,0.5714,27,2,60768.58,7.86
2024-11-19,V-001,331,613464.38,257029.65,356434.74,0.2646,0.2161,0.6567,30,2,29700.37,8.04
2025-04-12,V-001,351,1140515.5,481105.52,659409.92,0.295,0.2433,0.6964,27,0,0.0,7.9
2026-04-20,V-001,264,412121.47,171455.94,240665.49,0.2663,0.2481,0.5238,22,0,0.0,7.65
2025-12-03,V-001,346,721087.99,302575.59,418512.44,0.3079,0.2035,0.6865,30,2,27830.06,8.0
2026-02-16,V-001,328,589281.88,254271.61,335010.3,0.2815,0.2122,0.6508,27,1,8919.14,7.9
2025-05-04,V-001,269,707557.39,295705.73,411851.7,0.2763,0.2164,0.5337,27,1,14571.46,7.86
2025-04-13,V-001,294,769102.37,322613.28,446489.13,0.3036,0.2105,0.5833,27,1,22380.78,7.89
2025-01-11,V-001,316,1244567.97,511525.35,733042.6,0.2895,0.2354,0.627,32,2,44605.61,8.11
2025-05-24,V-001,310,967818.16,416668.44,551149.68,0.281,0.2392,0.6151,28,1,23943.32,7.9
2025-11-07,V-001,234,885592.02,379158.92,506433.1,0.2966,0.2004,0.4643,30,0,0.0,8.0
2025-06-02,V-001,335,524005.6,219909.51,304096.07,0.2853,0.2016,0.6647,30,5,54214.8,8.02
2026-01-11,V-001,399,1243122.78,524723.94,718398.8,0.2747,0.2467,0.7917,21,1,41160.3,7.59
2025-11-09,V-001,328,1010180.32,416542.87,593637.46,0.2699,0.238,0.6508,31,0,0.0,8.06
2025-06-24,V-001,477,731043.05,301671.68,429371.35,0.2963,0.2377,0.9464,29,2,12652.74,7.95
2026-02-28,V-001,304,1234556.78,518348.22,716208.64,0.2835,0.2231,0.6032,25,2,45620.12,7.78
2025-01-22,V-001,257,552232.55,227598.1,324634.46,0.2794,0.2152,0.5099,27,2,31777.38,7.88
2026-03-25,V-001,282,505782.44,208559.63,297222.83,0.2996,0.2038,0.5595,24,1,9862.57,7.74
2024-11-05,V-001,312,598611.84,256876.22,341735.64,0.2603,0.2199,0.619,33,0,0.0,8.18
2026-03-07,V-001,330,1102079.14,458028.01,644051.07,0.3039,0.2178,0.6548,27,1,19609.39,7.86
2025-08-15,V-001,353,701187.44,302905.32,398282.13,0.2865,0.2055,0.7004,27,1,17260.75,7.86
2025-12-29,V-001,334,632697.63,264001.16,368696.47,0.2617,0.2004,0.6627,30,0,0.0,8.04
2025-05-27,V-001,332,505193.45,220079.19,285114.3,0.2797,0.2448,0.6587,26,1,16592.92,7.84
2025-04-05,V-001,360,1198054.49,510602.55,687451.89,0.2873,0.231,0.7143,31,1,33333.46,8.08
2025-08-03,V-001,388,653012.16,282066.57,370945.65,0.2773,0.2141,0.7698,21,1,9677.02,7.58
2025-04-24,V-001,379,861215.06,363262.38,497952.67,0.2675,0.2417,0.752,26,1,7825.72,7.8
2025-10-03,V-001,365,1077649.32,470154.33,607495.09,0.2833,0.211,0.7242,21,2,45636.21,7.57
2025-11-14,V-001,323,1175997.04,496710.69,679286.36,0.3074,0.2401,0.6409,26,0,0.0,7.83
2024-11-15,V-001,325,1211156.67,504876.93,706279.72,0.273,0.2328,0.6448,27,4,116115.38,7.86
2024-11-04,V-001,351,640088.23,268581.94,371506.26,0.2914,0.249,0.6964,25,0,0.0,7.79
2026-03-06,V-001,294,942922.04,396535.67,546386.43,0.2888,0.2009,0.5833,29,1,23315.02,7.95
2025-10-10,V-001,330,1011000.35,452070.41,558929.97,0.2789,0.2352,0.6548,33,3,44894.22,8.19
2025-06-13,V-001,414,1307349.54,554480.53,752869.0,0.2899,0.228,0.8214,30,2,45253.4,8.04
2026-03-12,V-001,298,617908.93,268220.73,349688.23,0.262,0.2172,0.5913,30,3,40515.98,8.0
2025-10-28,V-001,346,516232.38,212774.76,303457.58,0.2658,0.2336,0.6865,30,2,20197.3,8.02
2025-06-25,V-001,341,607733.18,254833.87,352899.36,0.31,0.2279,0.6766,26,1,19843.82,7.85
2025-11-21,V-001,337,1267724.21,534877.94,732846.25,0.2794,0.2301,0.6687,28,0,0.0,7.94
2026-03-30,V-001,330,511504.05,212131.98,299372.11,0.295,0.2002,0.6548,20,2,15787.27,7.54
2026-02-14,V-001,188,759982.43,322649.53,437332.88,0.2984,0.2368,0.373,36,1,14426.75,8.32
2025-05-02,V-001,335,1068318.29,446944.55,621373.76,0.2736,0.2254,0.6647,20,1,37148.09,7.51
2025-05-23,V-001,315,976174.25,409478.76,566695.46,0.3078,0.2356,0.625,29,0,0.0,7.98
2025-06-16,V-001,353,570017.49,238599.87,331417.63,0.2699,0.2039,0.7004,29,0,0.0,7.96
2025-07-04,V-001,255,504275.91,213587.0,290688.89,0.2734,0.2253,0.506,32,2,24067.51,8.12
2026-02-24,V-001,347,629468.63,263110.76,366357.84,0.2763,0.2348,0.6885,25,1,9732.42,7.78
2025-07-10,V-001,218,315193.93,131340.24,183853.65,0.262,0.2278,0.4325,32,1,16864.04,8.12
2026-03-20,V-001,322,1046606.12,441247.39,605358.72,0.2908,0.2343,0.6389,26,1,8662.66,7.82
2025-03-11,V-001,333,532358.5,222755.94,309602.56,0.301,0.2073,0.6607,25,3,25500.98,7.78
2025-10-05,V-001,335,886822.63,371829.92,514992.75,0.2846,0.2349,0.6647,25,0,0.0,7.77
2025-04-26,V-001,292,966976.31,386537.47,580438.81,0.2748,0.2108,0.5794,26,1,21571.41,7.84
2025-03-20,V-001,257,564324.41,232939.38,331385.06,0.2723,0.2017,0.5099,28,2,20283.6,7.93
2025-08-24,V-001,292,512362.87,223109.83,289253.06,0.2935,0.2068,0.5794,27,1,13201.81,7.88
2026-02-01,V-001,213,648056.48,275433.85,372622.66,0.3094,0.242,0.4226,25,0,0.0,7.78
2025-02-14,V-001,413,1464524.85,604182.16,860342.7,0.2845,0.2189,0.8194,25,2,55518.36,7.79
2025-01-17,V-001,302,1162304.63,492236.28,670068.31,0.2935,0.2035,0.5992,31,1,42981.8,8.07
2026-03-22,V-001,376,1008866.42,432990.97,575875.4,0.2941,0.2029,0.746,26,1,27554.32,7.8
2025-07-30,V-001,349,399224.43,172184.99,227039.39,0.3024,0.2274,0.6925,25,2,16276.82,7.76
2025-07-21,V-001,395,389876.95,160443.58,229433.42,0.2892,0.2145,0.7837,31,1,9329.29,8.05
2026-02-04,V-001,304,641493.31,264677.65,376815.67,0.2787,0.2107,0.6032,29,0,0.0,7.96
2025-02-18,V-001,272,538275.23,231776.02,306499.2,0.2642,0.2069,0.5397,31,0,0.0,8.1
2025-11-01,V-001,388,1533136.11,655439.2,877696.91,0.2689,0.2436,0.7698,31,1,41900.57,8.08
2026-01-15,V-001,357,941834.29,410462.96,531371.28,0.3044,0.2302,0.7083,29,1,7927.61,7.96
2025-01-06,V-001,322,588981.85,243968.54,345013.31,0.2624,0.2454,0.6389,27,0,0.0,7.88
2025-05-16,V-001,240,761806.23,321378.66,440427.54,0.3015,0.2208,0.4762,31,1,24517.1,8.09
2025-12-13,V-001,318,1267437.85,540273.42,727164.43,0.2797,0.2382,0.631,30,0,0.0,8.04
2026-01-28,V-001,317,647099.94,273425.41,373674.53,0.2628,0.2198,0.629,28,1,16451.23,7.92
2026-01-30,V-001,338,1229065.58,520837.25,708228.33,0.2923,0.2185,0.6706,31,1,14828.98,8.09
2026-03-09,V-001,362,552575.51,233903.11,318672.36,0.274,0.2146,0.7183,23,2,21410.36,7.67
2025-11-27,V-001,270,717448.73,307601.63,409847.11,0.2988,0.2436,0.5357,29,2,28549.54,7.97
2025-07-20,V-001,249,413975.69,169418.04,244557.62,0.2963,0.2473,0.494,27,1,7914.36,7.89
2025-04-08,V-001,230,354448.05,153023.21,201424.78,0.3038,0.2261,0.4563,28,2,25304.23,7.94
2026-03-24,V-001,309,430993.79,181259.99,249733.79,0.3072,0.2423,0.6131,35,1,11623.01,8.28
2025-12-12,V-001,310,1144593.2,473292.28,671300.96,0.305,0.2134,0.6151,29,3,85147.94,7.98
2025-03-24,V-001,296,468637.95,193588.48,275049.45,0.2764,0.2277,0.5873,21,0,0.0,7.6
2024-12-28,V-001,257,1004881.65,425116.5,579765.16,0.2918,0.2388,0.5099,20,0,0.0,7.54
2025-12-15,V-001,317,587544.29,248565.53,338978.75,0.3059,0.2086,0.629,25,1,12179.05,7.8
2025-05-20,V-001,363,553421.29,232077.86,321343.39,0.2994,0.2216,0.7202,29,0,0.0,7.96
2025-03-12,V-001,214,366221.75,154300.41,211921.39,0.261,0.2196,0.4246,26,2,27677.51,7.85
2025-04-04,V-001,364,1099049.63,462964.7,636084.88,0.3055,0.2122,0.7222,27,4,43024.05,7.9
2024-11-14,V-001,326,913076.86,386576.55,526500.27,0.2614,0.2293,0.6468,34,2,37294.09,8.24
2024-12-24,V-001,325,604841.11,258135.6,346705.53,0.2852,0.2202,0.6448,25,4,38778.37,7.77
2025-04-19,V-001,282,921572.54,394515.08,527057.45,0.2783,0.2235,0.5595,23,0,0.0,7.66
2025-02-19,V-001,333,677621.11,280101.99,397519.14,0.2709,0.249,0.6607,27,2,22623.27,7.88
2026-03-19,V-001,342,751371.17,310783.61,440587.5,0.2955,0.2382,0.6786,31,2,23567.67,8.08
2025-02-11,V-001,249,486026.87,199118.97,286907.92,0.3034,0.2193,0.494,28,0,0.0,7.9
2026-04-02,V-001,370,828385.74,345081.07,483304.64,0.2737,0.2335,0.7341,25,1,22774.68,7.75
2025-12-31,V-001,378,818070.84,343345.85,474724.95,0.3047,0.2093,0.75,26,1,33580.87,7.81
2026-04-23,V-001,292,641282.81,264734.17,376548.7,0.2993,0.2005,0.5794,31,1,17734.63,8.07
2026-01-19,V-001,302,534015.74,235644.91,298370.81,0.2776,0.2487,0.5992,23,0,0.0,7.68
2024-11-11,V-001,308,582801.47,249350.99,333450.46,0.2848,0.2007,0.6111,27,1,6404.87,7.87
2024-11-29,V-001,360,1340530.01,572327.42,768202.57,0.2917,0.2116,0.7143,22,3,88248.68,7.6
2026-03-11,V-001,277,483176.59,196814.63,286361.97,0.2641,0.2369,0.5496,21,1,9438.0,7.58
2026-04-01,V-001,339,581943.29,247154.79,334788.48,0.2672,0.2221,0.6726,30,2,18679.41,8.02
2025-03-19,V-001,293,537841.34,220565.51,317275.83,0.3056,0.2297,0.5813,33,1,11770.88,8.2
2026-01-26,V-001,359,639065.54,265792.82,373272.75,0.2618,0.2094,0.7123,23,3,46948.8,7.67
2024-12-19,V-001,250,668539.4,288370.05,380169.38,0.3085,0.2143,0.496,30,3,46763.45,8.03
2024-12-05,V-001,249,967075.8,408594.71,558481.13,0.3036,0.2396,0.494,34,1,48374.61,8.23
2025-12-30,V-001,337,627525.85,264315.89,363209.95,0.2825,0.2435,0.6687,25,1,12005.4,7.77
2025-12-11,V-001,297,796321.19,328678.42,467642.81,0.2646,0.2318,0.5893,21,1,16244.6,7.57
2026-04-09,V-001,314,694595.54,302889.77,391705.76,0.2611,0.2036,0.623,30,0,0.0,8.0
2026-03-04,V-001,315,532883.11,222018.61,310864.5,0.3014,0.2291,0.625,34,1,17247.01,8.23
2025-04-21,V-001,416,646336.66,266746.64,379590.02,0.2802,0.2355,0.8254,26,1,14746.14,7.81
2025-04-28,V-001,293,441441.82,179825.84,261615.97,0.2874,0.2225,0.5813,30,0,0.0,8.05
2024-12-15,V-001,356,1067620.98,446837.88,620783.11,0.3003,0.2339,0.7063,28,1,17786.49,7.94
2025-04-23,V-001,345,628964.69,271203.48,357761.21,0.2817,0.2435,0.6845,26,1,7949.34,7.8
2025-03-01,V-001,355,1188666.76,495560.13,693106.63,0.2921,0.2159,0.7044,24,1,18137.34,7.71
2025-01-09,V-001,346,913457.22,379437.32,534019.95,0.2697,0.2454,0.6865,26,0,0.0,7.82
2024-11-16,V-001,259,1047754.93,422095.92,625658.98,0.2656,0.2102,0.5139,25,1,20251.06,7.77
2024-11-13,V-001,318,662841.1,278399.76,384441.32,0.2951,0.2257,0.631,21,2,19834.4,7.57
2025-10-13,V-001,384,604847.45,253713.85,351133.58,0.28,0.2165,0.7619,26,1,17710.08,7.84
2026-03-10,V-001,351,513498.58,212915.02,300583.56,0.3036,0.2024,0.6964,20,0,0.0,7.51
2025-04-14,V-001,274,427309.29,182778.51,244530.79,0.2849,0.2321,0.5437,28,0,0.0,7.95
2025-04-29,V-001,262,421346.1,169471.7,251874.37,0.2959,0.2139,0.5198,25,1,16017.6,7.79
2025-11-19,V-001,266,534243.0,224887.07,309355.93,0.3063,0.2475,0.5278,32,1,10420.99,8.12
2025-12-20,V-001,296,1139267.01,488674.82,650592.18,0.2714,0.2227,0.5873,32,0,0.0,8.12
2024-11-24,V-001,225,679187.86,280136.87,399050.94,0.2677,0.2226,0.4464,27,0,0.0,7.86
2024-11-27,V-001,376,790308.63,329776.22,460532.38,0.2624,0.2265,0.746,30,2,42094.8,8.0
2025-06-09,V-001,305,450284.77,194500.21,255784.57,0.3097,0.2216,0.6052,30,0,0.0,8.02
2025-03-04,V-001,308,475007.22,199893.11,275114.13,0.2601,0.2375,0.6111,22,2,16493.16,7.63
2025-11-06,V-001,374,950189.3,395863.42,554325.85,0.2829,0.2272,0.7421,21,1,21692.83,7.56
2025-03-02,V-001,309,821387.4,353809.62,467577.81,0.2695,0.2245,0.6131,32,1,32912.52,8.13
2025-11-05,V-001,247,507603.89,204626.74,302977.1,0.2718,0.215,0.4901,20,0,0.0,7.55
2025-05-06,V-001,325,513474.32,210906.88,302567.44,0.3007,0.2242,0.6448,30,1,6110.04,8.04
2025-06-12,V-001,293,638624.15,266461.59,372162.57,0.2888,0.2137,0.5813,26,0,0.0,7.82
2025-04-09,V-001,325,550255.77,234268.65,315987.13,0.285,0.2351,0.6448,31,1,9638.05,8.07
2025-09-26,V-001,319,925377.04,395370.19,530006.83,0.2923,0.2377,0.6329,28,0,0.0,7.92
2025-01-15,V-001,310,664882.74,278060.33,386822.42,0.3073,0.2184,0.6151,33,0,0.0,8.16
2025-07-11,V-001,318,652018.67,279891.73,372126.93,0.3094,0.2173,0.631,25,0,0.0,7.75
2026-01-09,V-001,315,1162769.6,477808.08,684961.5,0.2735,0.2455,0.625,28,0,0.0,7.91
2024-11-01,V-001,231,869040.32,369760.55,499279.77,0.2878,0.2108,0.4583,30,1,24811.01,8.0
2025-12-19,V-001,292,1091949.51,467010.49,624939.08,0.2879,0.2017,0.5794,29,1,28071.98,7.95
2026-02-20,V-001,368,1331186.07,570288.7,760897.44,0.2728,0.2198,0.7302,27,0,0.0,7.87
2026-02-10,V-001,309,523535.49,216311.66,307223.87,0.2981,0.2133,0.6131,27,1,10964.51,7.85
2025-01-02,V-001,364,974788.88,410029.96,564758.89,0.2604,0.2256,0.7222,28,1,19543.73,7.95
2025-05-01,V-001,411,909963.15,380696.69,529266.44,0.2653,0.2059,0.8155,34,1,14443.75,8.23
2025-12-06,V-001,295,1792312.81,771221.03,1021091.78,0.2765,0.2289,0.5853,32,1,55345.03,8.12
2024-12-23,V-001,286,571541.16,238982.25,332558.91,0.2948,0.2287,0.5675,33,0,0.0,8.19
2025-10-27,V-001,283,440360.26,188876.36,251483.91,0.295,0.2049,0.5615,30,0,0.0,8.05
2026-03-17,V-001,288,446714.88,188243.89,258470.91,0.2971,0.2155,0.5714,30,1,4313.54,8.05
2025-11-17,V-001,333,585717.88,249188.37,336529.55,0.2928,0.2367,0.6607,30,2,20119.07,8.02
2025-10-06,V-001,322,490842.49,215978.3,274864.2,0.2812,0.2069,0.6389,32,1,7796.98,8.1
2025-08-04,V-001,325,320420.35,137448.36,182971.98,0.2688,0.2476,0.6448,19,1,6149.36,7.49
2025-05-17,V-001,300,1027658.93,425997.39,601661.54,0.2776,0.2361,0.5952,26,1,37809.84,7.84
2025-01-31,V-001,362,1390785.28,572575.57,818209.73,0.3097,0.2286,0.7183,30,1,27636.67,8.0
2025-07-06,V-001,334,580266.16,246830.65,333435.55,0.2888,0.2047,0.6627,26,1,10573.89,7.84
2026-03-01,V-001,296,768835.3,311672.55,457162.74,0.2894,0.2014,0.5873,26,0,0.0,7.83
